location_id,trophic_sta,foodweb_sta,trophic_asyn,rich_Phytoplankton,rich_Zooplankton,shan_Phytoplankton,shan_Zooplankton,simp_Phytoplankton,simp_Zooplankton,species_stability_Phytoplankton,species_stability_Zooplankton,species_asynchrony_Phytoplankton,species_asynchrony_Zooplankton,Total_Biomass_Phytoplankton,mean_DO,mean_Depth,mean_Secchi,mean_TN,mean_TP,mean_Temp,mean_pH,microcystis_biomass,MC_prop
TH0,0.991162272,1.056234057,1.065651999,34.18181818,18.63636364,1.088467887,0.870616871,0.494389661,0.425866613,0.528822504,0.611050797,1.594218608,3.136124884,35.6003104,7.904273024,3.118181818,0.450454545,2.059304545,0.13765,18.97138636,8.230227273,28.01698873,0.303889299
TH1,1.665670355,1.869602371,1.122432398,32.63636364,18.72727273,1.099611486,0.838178609,0.50779117,0.40900261,0.735739813,0.82172265,1.952971453,4.010376671,31.38704989,8.801566554,2.305909091,0.461363636,1.979004545,0.134863636,18.63402273,8.322727273,40.93829643,0.432992637
TH10,0.666678222,0.71786312,1.076776017,32.09090909,16.45454545,0.999308011,0.753800819,0.476242346,0.389304683,0.48582689,0.850980717,1.250902189,1.687634147,42.74333828,7.236122702,2.245,0.297954545,3.666884091,0.220422727,18.86725,8.21,58.28972807,0.350058317
TH11,1.032101872,1.109537168,1.075026795,30,15.18181818,0.941805074,0.740864415,0.447250036,0.382616992,0.516199931,0.830359551,1.742275704,2.119320693,19.58385738,8.587433548,2.134545455,0.281818182,1.947515909,0.105102273,18.77968182,8.263863636,5.127088426,0.191964383
TH12,1.713489954,2.12901712,1.242503415,31.81818182,16.09090909,0.862515097,0.721531465,0.410740569,0.376219916,0.541177096,0.903593641,2.688516674,2.806273902,11.14867332,8.670429249,1.830227273,0.398863636,1.287838636,0.063847727,18.91047727,8.265681818,1.154285657,0.108286754
TH13,1.368909092,1.447701508,1.057558546,31.18181818,15.36363636,1.046145691,0.758085939,0.490001619,0.389266379,0.67269452,0.792187841,1.873249343,2.518076604,27.64098944,8.675894758,2.306818182,0.330681818,1.953347727,0.100622727,18.28534091,8.340227273,36.99310576,0.403127329
TH14,1.287232801,1.375896459,1.068879271,29.90909091,17,1.024379649,0.778398645,0.48034123,0.392819682,0.597135241,0.789720094,1.934711698,2.547830952,25.43160044,8.665740059,2.247727273,0.360909091,1.873025,0.092590909,18.02225,8.3375,20.62320938,0.279802142
TH15,1.22653669,1.426967954,1.163412368,33.09090909,16.27272727,1.050166864,0.783360888,0.472034342,0.400749795,0.594828422,0.613132935,1.947516576,2.331881911,22.60745649,8.77983021,1.825757576,0.433863636,1.250284091,0.098620455,19.51549242,8.248409091,0.807907347,0.07119623
TH16,0.934427641,1.074505312,1.149907457,34.72727273,17.18181818,1.152202036,0.865839715,0.50509105,0.423948682,0.578787582,0.678785931,1.510729235,1.656547285,32.72105642,7.593586406,2.149621212,0.392272727,4.071418182,0.200981818,19.33275,8.238863636,19.98354816,0.26450115
TH17,1.383772105,1.592198964,1.150622244,26.09090909,16.54545455,0.938942533,0.870160305,0.463327578,0.424285397,0.686992051,0.912289118,1.696277727,2.225307317,21.46395627,8.341428719,2.362272727,0.561818182,3.632965909,0.186363636,18.89759091,8.310454545,72.20382698,0.572888062
TH18,1.368506164,1.603994277,1.172076764,25.36363636,17,0.858031292,0.790308931,0.432928026,0.396036111,0.658991888,0.996472876,1.665988212,2.544991523,15.79359444,8.485897003,2.644545455,0.319090909,2.446286364,0.134465909,18.44931818,8.362727273,14.10267561,0.531684189
TH19,1.043538156,1.280124394,1.226715464,23.72727273,15.09090909,0.852591249,0.795509412,0.43314521,0.402072236,0.661430443,0.6594416,1.610606794,1.532519185,16.01730797,8.511987068,2.5975,0.286590909,2.145065909,0.129802273,18.20509091,8.324772727,8.160684483,0.463972314
TH20,1.029633189,1.120690039,1.088436203,22.27272727,14.72727273,0.912354582,0.797596498,0.450119658,0.399952786,0.539861634,0.894827664,1.582650044,2.159785359,20.99061776,8.493837843,2.286363636,0.257727273,2.025709091,0.123454545,18.41552273,8.307045455,11.46743822,0.449589568
TH21,1.419944564,1.623063796,1.143047297,23.27272727,15,0.810634026,0.772026803,0.407516748,0.393270821,0.603309995,0.810325034,2.14792888,1.997409393,10.79345296,8.442142508,2.584318182,0.263636364,1.796779545,0.099731818,18.19059091,8.288181818,3.998462469,0.307826615
TH22,1.040740529,1.069561935,1.027693171,23.72727273,15.90909091,0.830216799,0.75346574,0.417195631,0.385096242,0.499465391,0.886866476,1.656592754,2.315699999,13.91275497,8.605171315,2.349545455,0.280227273,1.808740909,0.096863636,18.47972727,8.276590909,4.552400875,0.240835862
TH23,1.034287419,1.10132791,1.064818048,24.09090909,15.09090909,0.84242024,0.748081349,0.41920845,0.383536207,0.550355601,0.944953278,1.543951974,1.928636609,14.09444284,8.67238002,2.348863636,0.302954545,1.635811364,0.087627273,18.57395455,8.2725,4.941807887,0.248414674
TH24,1.192831491,1.254310176,1.051540126,31.63636364,15.36363636,0.835511083,0.708863195,0.407934981,0.371881662,0.53604809,0.897431027,1.923594539,1.943389859,11.29175192,8.618188996,2.039545455,0.422265152,1.426843182,0.0661,18.78606818,8.298636364,2.747726968,0.145473949
TH25,1.305218028,1.51357772,1.159635928,36.90909091,15.81818182,1.053496317,0.694118204,0.466228538,0.3678908,0.571345757,0.861148789,2.106114188,2.383260099,21.56862543,8.495087959,1.760227273,0.445795455,1.222243182,0.059406818,19.09093182,8.245681818,1.36806518,0.08028904
TH26,1.312951651,1.743365402,1.327821478,32.36363636,16.27272727,0.809388684,0.737209076,0.398054001,0.38221894,0.542418275,0.672234047,3.156482778,1.505971198,9.114460681,8.682159961,2.049393939,0.392159091,1.228768182,0.053186364,19.05568182,8.287045455,1.584108241,0.128031369
TH27,1.21992911,1.531923095,1.255747635,31.45454545,14.36363636,0.786363099,0.673523791,0.392427057,0.364412131,0.57524115,0.774497503,1.96551406,1.849638072,8.528896692,8.654397564,2.065681818,0.452795455,1.2962,0.049677273,18.77134091,8.299318182,1.758008672,0.16259623
TH28,1.497047694,1.748781717,1.168153643,31.36363636,14.09090909,0.751556522,0.642584991,0.384796029,0.356301962,0.493060117,0.745343462,2.624817568,3.009852258,7.364735959,8.458828746,2.119545455,0.818863636,0.934293182,0.033429545,18.8725,8.316136364,1.318307819,0.125604788
TH29,1.507435686,1.770001732,1.174180596,28,14.72727273,0.838043632,0.723948689,0.412240362,0.378056456,0.595375787,0.87027683,2.12787945,2.674953221,11.55527064,8.824067596,2.523409091,0.362045455,1.511056818,0.063638636,18.68590909,8.303181818,2.964721384,0.187974324
TH3,1.389494543,1.572959592,1.132037258,32.81818182,18.27272727,1.104995085,0.84715611,0.502202773,0.413271135,0.704210604,0.833049931,1.810671319,2.20742498,29.87054679,8.524581113,2.430909091,0.405,1.976606818,0.120722727,18.60152273,8.362045455,51.72741085,0.476212791
TH30,1.059695409,1.188754607,1.121788956,30.27272727,14.81818182,0.857298559,0.707598401,0.417285811,0.372800246,0.528721697,0.861188858,1.633019462,2.725560685,13.22674397,8.571699589,2.302424242,0.417727273,1.498331818,0.058506818,18.78886364,8.300909091,4.544685561,0.230179966
TH31,1.21741502,1.278964659,1.050557647,26.81818182,16.09090909,1.041670309,0.743428065,0.488447229,0.384028552,0.688842644,0.817369874,1.610272335,2.474138535,28.113806,8.690700312,2.397727273,0.342272727,2.043722727,0.108370455,18.34618182,8.44,14.19240933,0.400640331
TH32,0.927033206,0.97574883,1.052550031,27.90909091,17.09090909,0.995772708,0.830017326,0.486932701,0.408075889,0.62841401,0.847489417,1.315537456,2.015737459,38.71435353,8.55304564,2.384545455,0.313409091,3.073106818,0.184806818,18.46956818,8.362727273,74.87759204,0.541726441
TH4,0.960510602,0.997593319,1.038607296,31.63636364,18.18181818,1.063836127,0.825512625,0.501053041,0.406359628,0.59348341,0.940591553,1.410273558,2.831536506,42.61881026,8.931048012,2.453409091,0.378863636,2.287702273,0.133663636,18.57327273,8.373181818,87.23175712,0.500361426
TH5,1.359410717,1.492333978,1.097780059,29,18.09090909,1.048810996,0.839084547,0.501118331,0.41029753,0.701212251,0.889619892,1.718466857,2.554299028,32.81498558,8.821911771,2.491439394,0.338712121,2.407902273,0.135181818,18.57052273,8.369545455,80.95271592,0.504014688
TH6,1.219546774,1.34666453,1.104233605,31.27272727,18,1.087770102,0.880995552,0.496999457,0.42985591,0.628813796,0.782701992,1.656572792,2.482299702,29.72295156,8.233105144,2.247045455,0.340227273,2.429438636,0.156795455,18.66106818,8.3575,42.59434828,0.401893944
TH7,1.743296112,2.102527593,1.206064523,26,16.45454545,0.882512801,0.724263535,0.433188048,0.379127489,0.74072423,0.845881851,2.194581468,2.481595318,14.59306367,8.387098711,2.647727273,0.357727273,2.143570455,0.105184091,18.04504545,8.320909091,45.33943267,0.516112657
TH8,1.571923917,1.697557692,1.079923572,24.36363636,15.27272727,0.79412579,0.713879779,0.404622258,0.375502542,0.623554632,0.848179656,2.095735927,2.891259265,10.25777274,8.600021944,2.632954545,0.337181818,1.823606818,0.089895455,18.03488636,8.292954545,20.37422125,0.432864262
TH9,1.157516043,1.259474499,1.088083839,34.54545455,16.18181818,1.082701894,0.73852836,0.480307418,0.383736105,0.555791752,0.706279762,1.856988338,3.003890103,25.21682512,8.772731948,2.066363636,0.512272727,1.318197727,0.097981818,19.07509091,8.249772727,0.635906884,0.060361383
