"location_id","trophic_sta","foodweb_sta","trophic_asyn","rich_Phytoplankton","rich_Zooplankton","shan_Phytoplankton","shan_Zooplankton","simp_Phytoplankton","simp_Zooplankton","species_stability_Phytoplankton","species_stability_Zooplankton","species_asynchrony_Phytoplankton","species_asynchrony_Zooplankton","mean_DO","mean_Depth","mean_Secchi","mean_TN","mean_TP","mean_Temp","mean_pH","pie_Phytoplankton","pie_Zooplankton","even_simp_Phytoplankton","even_simp_Zooplankton","microcystis_biomass","prop_biomass","zooplankton_biomass","phytoplankton_biomass","phy_zoo_ratio"
"TH0",0.991162272,1.056234057,1.065651999,34.18181818,18.63636364,1.088467887,0.870616871,0.494389661,0.425866613,0.528822504,0.611050797,1.594218608,3.136124884,7.904273024,3.118181818,0.450454545,2.059304545,0.13765,18.97138636,8.230227273,0.313125352179476,0.299263061447734,0.064227937569043,0.0957045714307766,33.0681789216667,0.27762969851402,22.2107320778182,68.8178697209091,7.13119267052367
"TH1",1.665670355,1.869602371,1.122432398,32.63636364,18.72727273,1.099611486,0.838178609,0.50779117,0.40900261,0.735739813,0.82172265,1.952971453,4.010376671,8.801566554,2.305909091,0.461363636,1.979004545,0.134863636,18.63402273,8.322727273,0.320202336667449,0.286455917661602,0.0687663889628924,0.0910638377754336,36.427814501,0.35960236807156,18.783103206,69.2375250101818,7.15930825075556
"TH10",0.666678222,0.71786312,1.076776017,32.09090909,16.45454545,0.999308011,0.753800819,0.476242346,0.389304683,0.48582689,0.850980717,1.250902189,1.687634147,7.236122702,2.245,0.297954545,3.666884091,0.220422727,18.86725,8.21,0.289128323486423,0.269389757713114,0.0633792822949897,0.100375817408898,50.8964207603333,0.297296498680973,15.9944711838182,100.441812847091,19.3539590099176
"TH11",1.032101872,1.109537168,1.075026795,30,15.18181818,0.941805074,0.740864415,0.447250036,0.382616992,0.516199931,0.830359551,1.742275704,2.119320693,8.587433548,2.134545455,0.281818182,1.947515909,0.105102273,18.77968182,8.263863636,0.281784507643242,0.274234139266123,0.0670642602121267,0.108892436025591,5.86384083266667,0.144236397890559,6.989973741,19.5838573790909,2.73767035101884
"TH12",1.713489954,2.12901712,1.242503415,31.81818182,16.09090909,0.862515097,0.721531465,0.410740569,0.376219916,0.541177096,0.903593641,2.688516674,2.806273902,8.670429249,1.830227273,0.398863636,1.287838636,0.063847727,18.91047727,8.265681818,0.252892799188413,0.260450123357584,0.0567341800037278,0.100607903929692,1.22458683616667,0.0654177795111187,6.10913507072727,11.1486733202727,2.25188602824347
"TH13",1.368909092,1.447701508,1.057558546,31.18181818,15.36363636,1.046145691,0.758085939,0.490001619,0.389266379,0.67269452,0.792187841,1.873249343,2.518076604,8.675894758,2.306818182,0.330681818,1.953347727,0.100622727,18.28534091,8.340227273,0.306139691465747,0.279626810334149,0.0664631595862928,0.109390402482907,26.9079130114167,0.30745292926918,11.8105008614545,62.0907347080909,10.1097159347926
"TH14",1.287232801,1.375896459,1.068879271,29.90909091,17,1.024379649,0.778398645,0.48034123,0.392819682,0.597135241,0.789720094,1.934711698,2.547830952,8.665740059,2.247727273,0.360909091,1.873025,0.092590909,18.02225,8.3375,0.304277929214573,0.276132205663663,0.0694589013948916,0.0990635920750601,18.3531644184167,0.235406805665877,13.1454617255455,54.7964097091818,9.21083124622953
"TH15",1.22653669,1.426967954,1.163412368,33.09090909,16.27272727,1.050166864,0.783360888,0.472034342,0.400749795,0.594828422,0.613132935,1.947516576,2.331881911,8.77983021,1.825757576,0.433863636,1.250284091,0.098620455,19.51549242,8.248409091,0.303547332415022,0.281095951338782,0.0619803575213469,0.103497552709079,0.893828051083333,0.0521452569206747,9.35012867254545,22.6074564857273,2.93986264379171
"TH16",0.934427641,1.074505312,1.149907457,34.72727273,17.18181818,1.152202036,0.865839715,0.50509105,0.423948682,0.578787582,0.678785931,1.510729235,1.656547285,7.593586406,2.149621212,0.392272727,4.071418182,0.200981818,19.33275,8.238863636,0.32638815154364,0.305291919417322,0.0638812593413196,0.103680049090142,17.4743126051667,0.173630298688668,22.7532088778182,72.6464941213636,11.1502031582966
"TH17",1.383772105,1.592198964,1.150622244,26.09090909,16.54545455,0.938942533,0.870160305,0.463327578,0.424285397,0.686992051,0.912289118,1.696277727,2.225307317,8.341428719,2.362272727,0.561818182,3.632965909,0.186363636,18.89759091,8.310454545,0.295322242628332,0.310512149673826,0.0813323217580058,0.106283995711515,57.0360281481667,0.378149003496235,21.3791606860909,71.7944727232727,5.62309342157229
"TH18",1.368506164,1.603994277,1.172076764,25.36363636,17,0.858031292,0.790308931,0.432928026,0.396036111,0.658991888,0.996472876,1.665988212,2.544991523,8.485897003,2.644545455,0.319090909,2.446286364,0.134465909,18.44931818,8.362727273,0.272575700740822,0.279858087783894,0.077997087669481,0.0985407331945028,15.43191738175,0.36192670195788,8.45672278809091,15.7935944385455,2.26948323768583
"TH19",1.043538156,1.280124394,1.226715464,23.72727273,15.09090909,0.852591249,0.795509412,0.43314521,0.402072236,0.661430443,0.6594416,1.610606794,1.532519185,8.511987068,2.5975,0.286590909,2.145065909,0.129802273,18.20509091,8.324772727,0.273549928182788,0.296105412488114,0.0813489632172539,0.115312415479398,8.49885772016667,0.281456884469675,10.043211852,16.0173079651818,2.01212150830224
"TH20",1.029633189,1.120690039,1.088436203,22.27272727,14.72727273,0.912354582,0.797596498,0.450119658,0.399952786,0.539861634,0.894827664,1.582650044,2.159785359,8.493837843,2.286363636,0.257727273,2.025709091,0.123454545,18.41552273,8.307045455,0.301541828299054,0.29768450625355,0.0931138016652602,0.115288722912647,11.135199616,0.311208981127277,9.21309253563636,20.9906177626364,2.11191148022828
"TH21",1.419944564,1.623063796,1.143047297,23.27272727,15,0.810634026,0.772026803,0.407516748,0.393270821,0.603309995,0.810325034,2.14792888,1.997409393,8.442142508,2.584318182,0.263636364,1.796779545,0.099731818,18.19059091,8.288181818,0.2617192826424,0.288136716681256,0.0777731595681658,0.11334272413808,3.92694819058333,0.173409454927762,8.42222350163636,10.7934529633636,1.2875421641275
"TH22",1.040740529,1.069561935,1.027693171,23.72727273,15.90909091,0.830216799,0.75346574,0.417195631,0.385096242,0.499465391,0.886866476,1.656592754,2.315699999,8.605171315,2.349545455,0.280227273,1.808740909,0.096863636,18.47972727,8.276590909,0.266609106924162,0.273804889045476,0.0793912484523112,0.104134204679805,5.22787040858333,0.165469411037071,7.27251746654545,13.9127549700909,1.63690970324227
"TH23",1.034287419,1.10132791,1.064818048,24.09090909,15.09090909,0.84242024,0.748081349,0.41920845,0.383536207,0.550355601,0.944953278,1.543951974,1.928636609,8.67238002,2.348863636,0.302954545,1.635811364,0.087627273,18.57395455,8.2725,0.271066015769528,0.278490045434381,0.0793883730198102,0.110476068908578,5.26182192716667,0.162271373519825,7.078686917,14.0944428410909,1.90597994478286
"TH24",1.192831491,1.254310176,1.051540126,31.63636364,15.36363636,0.835511083,0.708863195,0.407934981,0.371881662,0.53604809,0.897431027,1.923594539,1.943389859,8.618188996,2.039545455,0.422265152,1.426843182,0.0661,18.78606818,8.298636364,0.246450301635026,0.261977340118911,0.0574577991057608,0.107547087286959,2.77783495066667,0.0905163008900137,5.60227020995455,11.2917519204091,2.14460748220484
"TH25",1.305218028,1.51357772,1.159635928,36.90909091,15.81818182,1.053496317,0.694118204,0.466228538,0.3678908,0.571345757,0.861148789,2.106114188,2.383260099,8.495087959,1.760227273,0.445795455,1.222243182,0.059406818,19.09093182,8.245681818,0.294809437686653,0.252644135631669,0.054464107081063,0.102289669954642,1.57696202283333,0.0569640726375856,5.01726562404545,21.568625428,8.3581672559411
"TH26",1.312951651,1.743365402,1.327821478,32.36363636,16.27272727,0.809388684,0.737209076,0.398054001,0.38221894,0.542418275,0.672234047,3.156482778,1.505971198,8.682159961,2.049393939,0.392159091,1.228768182,0.053186364,19.05568182,8.287045455,0.236677181716971,0.268497462106841,0.0543984373586626,0.104273456067928,1.48025090166667,0.0733302374676568,7.15701870959091,9.11446068122727,2.28059716900056
"TH27",1.21992911,1.531923095,1.255747635,31.45454545,14.36363636,0.786363099,0.673523791,0.392427057,0.364412131,0.57524115,0.774497503,1.96551406,1.849638072,8.654397564,2.065681818,0.452795455,1.2962,0.049677273,18.77134091,8.299318182,0.232062569889207,0.255106858620337,0.0554812949365629,0.112953363301887,1.77447522516667,0.100491246867666,4.53799655336364,8.528896692,2.93190347260194
"TH28",1.497047694,1.748781717,1.168153643,31.36363636,14.09090909,0.751556522,0.642584991,0.384796029,0.356301962,0.493060117,0.745343462,2.624817568,3.009852258,8.458828746,2.119545455,0.818863636,0.934293182,0.033429545,18.8725,8.316136364,0.221242801001877,0.244252274735137,0.0548322336285968,0.112948463875719,1.20087506433333,0.0811669384844262,3.46989711027273,7.36473595945455,2.61968986294686
"TH29",1.507435686,1.770001732,1.174180596,28,14.72727273,0.838043632,0.723948689,0.412240362,0.378056456,0.595375787,0.87027683,2.12787945,2.674953221,8.824067596,2.523409091,0.362045455,1.511056818,0.063638636,18.68590909,8.303181818,0.255893952239891,0.269270284369972,0.0651112321422683,0.109824177344556,2.84221372308333,0.11963044424158,6.22487802609091,11.5552706384545,1.97316195205387
"TH3",1.389494543,1.572959592,1.132037258,32.81818182,18.27272727,1.104995085,0.84715611,0.502202773,0.413271135,0.704210604,0.833049931,1.810671319,2.20742498,8.524581113,2.430909091,0.405,1.976606818,0.120722727,18.60152273,8.362045455,0.319391246371125,0.293901677011988,0.0661404714852519,0.0957783243233433,45.9652714495,0.385927694322961,19.5733515537273,71.1307170630909,7.05812114515008
"TH30",1.059695409,1.188754607,1.121788956,30.27272727,14.81818182,0.857298559,0.707598401,0.417285811,0.372800246,0.528721697,0.861188858,1.633019462,2.725560685,8.571699589,2.302424242,0.417727273,1.498331818,0.058506818,18.78886364,8.300909091,0.255200845852389,0.262789134380041,0.0614972761121129,0.108826518956872,4.1323764455,0.141701145489486,5.48168546418182,13.2267439724545,2.95172359192148
"TH31",1.21741502,1.278964659,1.050557647,26.81818182,16.09090909,1.041670309,0.743428065,0.488447229,0.384028552,0.688842644,0.817369874,1.610272335,2.474138535,8.690700312,2.397727273,0.342272727,2.043722727,0.108370455,18.34618182,8.44,0.318851920799748,0.268171825736015,0.0782952304618019,0.101777842167279,11.9044846603333,0.283673095787473,6.889801208,28.1138060043636,4.67213325847004
"TH32",0.927033206,0.97574883,1.052550031,27.90909091,17.09090909,0.995772708,0.830017326,0.486932701,0.408075889,0.62841401,0.847489417,1.315537456,2.015737459,8.55304564,2.384545455,0.313409091,3.073106818,0.184806818,18.46956818,8.362727273,0.304323702571399,0.292656382712482,0.0786249489946005,0.0998159390884313,70.25969148325,0.455726126924258,19.1365033931818,101.461282480182,11.934210752097
"TH4",0.960510602,0.997593319,1.038607296,31.63636364,18.18181818,1.063836127,0.825512625,0.501053041,0.406359628,0.59348341,0.940591553,1.410273558,2.831536506,8.931048012,2.453409091,0.378863636,2.287702273,0.133663636,18.57327273,8.373181818,0.314762151760332,0.287681625792377,0.0724577119357585,0.095701897146125,80.20495773425,0.410489902893056,18.6415001459091,115.315096226,14.1704044167842
"TH5",1.359410717,1.492333978,1.097780059,29,18.09090909,1.048810996,0.839084547,0.501118331,0.41029753,0.701212251,0.889619892,1.718466857,2.554299028,8.821911771,2.491439394,0.338712121,2.407902273,0.135181818,18.57052273,8.369545455,0.314465333470983,0.289923423591707,0.0752291528836514,0.0946190419705896,72.5467602585833,0.444685904822892,18.704272765,110.404564777364,12.1318288626556
"TH6",1.219546774,1.34666453,1.104233605,31.27272727,18,1.087770102,0.880995552,0.496999457,0.42985591,0.628813796,0.782701992,1.656572792,2.482299702,8.233105144,2.247045455,0.340227273,2.429438636,0.156795455,18.66106818,8.3575,0.317342056714589,0.305924200492357,0.0689824832536095,0.0993737218634814,34.55030264325,0.270914681317187,23.3007062252727,79.0279137273636,6.96963804271225
"TH7",1.743296112,2.102527593,1.206064523,26,16.45454545,0.882512801,0.724263535,0.433188048,0.379127489,0.74072423,0.845881851,2.194581468,2.481595318,8.387098711,2.647727273,0.357727273,2.143570455,0.105184091,18.04504545,8.320909091,0.274856578906142,0.259904927108501,0.0722969744751621,0.0996639675265445,34.6316347825833,0.371263747067161,11.0208171518182,52.968722719,8.95840747736291
"TH8",1.571923917,1.697557692,1.079923572,24.36363636,15.27272727,0.79412579,0.713879779,0.404622258,0.375502542,0.623554632,0.848179656,2.095735927,2.891259265,8.600021944,2.632954545,0.337181818,1.823606818,0.089895455,18.03488636,8.292954545,0.251324416040177,0.262797054297333,0.0717521124374832,0.106578978422397,16.48653896225,0.310336831925702,9.92068661445455,29.8770591312727,4.12368071156399
"TH9",1.157516043,1.259474499,1.088083839,34.54545455,16.18181818,1.082701894,0.73852836,0.480307418,0.383736105,0.555791752,0.706279762,1.856988338,3.003890103,8.772731948,2.066363636,0.512272727,1.318197727,0.097981818,19.07509091,8.249772727,0.308736835833115,0.26655272745239,0.0610402522237424,0.102879253391817,0.676736307833333,0.0458035649582559,6.74338995836364,25.2168251204545,3.91767403705395
